                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1201,                0.57635,                 1.3039,                0.93509,                0.92752,                0.97125,                0.67852,                  1.082,                0.49007,                 1.3752,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1138,                0.57469,                 1.3046,                0.94885,                0.93233,                0.97572,                0.67504,                 1.0935,                0.48922,                 1.3889,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.109,                0.57128,                 1.3072,                0.95128,                 0.9389,                0.97481,                0.67741,                 1.0923,                0.47786,                 1.3826,               0.000416,               0.000416,               0.000416
                     83,                 1.1059,                0.56319,                 1.3023,                0.94393,                0.92773,                0.97208,                0.67648,                 1.0778,                0.48098,                 1.3762,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0893,                0.55523,                 1.2929,                0.94878,                0.93364,                0.97237,                0.67614,                 1.0932,                0.48052,                 1.3874,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0939,                0.55336,                 1.2896,                0.94146,                0.92773,                 0.9723,                0.67638,                 1.0812,                0.48576,                 1.3801,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1108,                0.55913,                 1.2968,                 0.9447,                0.93165,                0.97203,                0.68038,                 1.0771,                0.48162,                 1.3774,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0891,                0.55254,                 1.2836,                0.94492,                 0.9355,                0.97363,                0.68345,                 1.0666,                0.47147,                 1.3669,               0.000317,               0.000317,               0.000317
                     88,                 1.0964,                0.55732,                 1.2919,                0.94925,                0.93396,                0.97232,                0.67923,                 1.0784,                0.47213,                 1.3743,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0797,                0.54773,                 1.2712,                 0.9275,                0.94415,                0.97376,                0.67809,                 1.0904,                0.47362,                 1.3827,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0854,                0.54815,                 1.2889,                 0.9435,                0.92838,                0.97327,                0.68281,                 1.0802,                0.47339,                 1.3703,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0416,                0.50717,                 1.2795,                0.93812,                0.93628,                0.97451,                0.67706,                 1.0826,                0.48159,                  1.378,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0291,                 0.4958,                 1.2615,                0.94205,                 0.9343,                0.97146,                0.67777,                 1.0757,                0.47766,                 1.3786,               0.000218,               0.000218,               0.000218
                     93,                 1.0276,                 0.4921,                 1.2647,                0.93503,                 0.9343,                 0.9706,                0.67262,                 1.0886,                0.47958,                 1.3847,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0136,                0.48162,                 1.2506,                 0.9435,                0.93824,                0.97428,                0.68005,                 1.0857,                0.47704,                 1.3827,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0156,                0.48096,                 1.2514,                0.94375,                0.93692,                0.97391,                0.67988,                 1.0848,                0.47623,                 1.3814,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0069,                0.48185,                 1.2503,                 0.9452,                 0.9343,                0.97226,                0.68018,                 1.0834,                0.47506,                 1.3832,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0052,                0.47261,                 1.2456,                0.95235,                0.92904,                 0.9747,                0.68176,                 1.0847,                0.47115,                 1.3831,               0.000119,               0.000119,               0.000119
                     98,                 1.0008,                0.47197,                 1.2342,                0.94389,                0.93947,                0.97347,                0.68124,                 1.0798,                0.46879,                 1.3784,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.99193,                0.47114,                 1.2367,                0.95192,                0.93664,                0.97479,                 0.6835,                 1.0739,                0.46473,                 1.3741,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.99253,                0.47199,                 1.2409,                0.94831,                0.93561,                0.97386,                0.68443,                  1.072,                0.46743,                 1.3714,               5.96e-05,               5.96e-05,               5.96e-05
